transaction_id,customer_id,product,quantity,price,date,category,city,shipping_method,discount
T0060,C115,Monitor,1,318.47,2025-03-04,Home Appliances,,Express,5
T0061,C123,Smartwatch,1,161.4,2025-03-01,Accessories,Seattle,Express,5
T0062,C158,Smartwatch,3,1110.63,2025-03-03,,New York,Standard,5
T0063,C194,Smartwatch,1,151.28,2025-03-04,Home Appliances,San Francisco,Express,5
T0064,C093,Laptop,3,1063.27,2025-03-02,Clothing,San Francisco,Standard,0
T0065,C010,Tablet,3,158.7,2025-03-07,Electronics,San Francisco,Standard,15
T0066,C135,Tablet,3,986.2,2025-03-05,,Los Angeles,Standard,5
T0067,C098,Smartphone,2,152.29,2025-03-07,Clothing,Miami,Standard,20
T0068,C042,Headphones,3,637.68,2025-03-05,,San Francisco,Express,5
T0069,C149,Smartphone,1,743.34,2025-03-01,Electronics,Seattle,Express,15
T0070,C174,Tablet,1,564.54,2025-03-03,Clothing,,Standard,0
T0071,C100,Smartwatch,3,689.66,2025-03-02,Accessories,Boston,Express,10
T0072,C084,Keyboard,2,694.22,2025-03-02,Accessories,New York,Express,10
T0073,C192,Tablet,2,711.02,2025-03-03,,,Express,15
T0074,C037,Tablet,2,501.94,2025-03-04,Electronics,Los Angeles,Standard,10
T0075,C186,Smartwatch,1,633.2,2025-03-07,,Chicago,Express,0
T0076,C103,Smartphone,3,470.7,2025-03-02,Clothing,,Express,15
T0077,C151,Smartphone,3,1186.77,2025-03-01,Clothing,,Express,10
T0078,C089,Monitor,2,660.78,2025-03-02,,Chicago,Express,20
T0079,C019,Smartwatch,3,634.12,2025-03-04,Home Appliances,Los Angeles,Standard,5
T0080,C071,Keyboard,1,1011.31,2025-03-06,Clothing,Los Angeles,Express,20
T0081,C049,Tablet,1,1101.03,2025-03-05,Home Appliances,Los Angeles,Express,10
T0082,C143,Headphones,3,106.46,2025-03-03,Accessories,Los Angeles,Express,5
T0083,C074,Keyboard,3,798.78,2025-03-01,Clothing,Los Angeles,Standard,0
T0084,C149,Smartwatch,2,278.32,2025-03-04,Home Appliances,,Standard,15
T0085,C099,Monitor,2,1045.65,2025-03-03,Clothing,New York,Standard,15
T0086,C042,Smartwatch,3,481.61,2025-03-01,Accessories,Seattle,Standard,10
T0087,C166,Smartwatch,1,1065.04,2025-03-04,Accessories,Miami,Express,15
T0088,C086,Headphones,2,110.28,2025-03-04,Clothing,Boston,Express,15
T0089,C106,Keyboard,3,354.49,2025-03-06,Electronics,Miami,Express,10
T0090,C160,Smartphone,3,876.56,2025-03-05,Electronics,New York,Express,5
T0091,C045,Laptop,1,1075.18,2025-03-06,Accessories,Los Angeles,Express,0
T0092,C036,Tablet,1,663.91,2025-03-06,,,Standard,0
T0093,C025,Monitor,1,695.19,2025-03-07,Clothing,New York,Standard,5
T0094,C065,Headphones,1,693.44,2025-03-04,Electronics,New York,Standard,0
T0095,C083,Laptop,1,58.94,2025-03-04,Electronics,Los Angeles,Express,0
T0096,C195,Tablet,3,1107.15,2025-03-01,,Seattle,Standard,20
T0097,C117,Keyboard,1,1189.63,2025-03-06,Accessories,San Francisco,Standard,0
T0098,C051,Smartwatch,2,315.33,2025-03-01,Electronics,Chicago,Express,10
T0099,C194,Smartwatch,1,583.95,2025-03-07,Clothing,Seattle,Express,5
T0100,C077,Smartwatch,1,277.44,2025-03-03,Clothing,,Standard,20
T0101,C049,Tablet,2,825.44,2025-03-03,Clothing,,Express,15
T0102,C103,Monitor,1,503.61,2025-03-06,Clothing,Seattle,Standard,0
T0103,C064,Tablet,2,265.39,2025-03-06,Accessories,Seattle,Standard,5
T0104,C056,Laptop,2,384.1,2025-03-05,,New York,Standard,10
T0105,C128,Monitor,3,779.69,2025-03-02,Clothing,Los Angeles,Express,15
T0106,C032,Keyboard,2,1163.86,2025-03-05,Home Appliances,Chicago,Express,20
T0107,C078,Laptop,1,780.05,2025-03-02,Home Appliances,Chicago,Express,10
T0108,C060,Keyboard,2,307.26,2025-03-01,Clothing,Boston,Standard,15
T0109,C014,Headphones,3,575.92,2025-03-01,Accessories,Boston,Standard,20
T0110,C002,Headphones,2,65.58,2025-03-07,Electronics,,Express,20
T0111,C180,Monitor,3,710.56,2025-03-01,Accessories,,Standard,5
T0112,C022,Tablet,3,1095.06,2025-03-07,Home Appliances,Seattle,Express,15
T0113,C118,Monitor,1,927.16,2025-03-07,Accessories,New York,Standard,10
T0114,C052,Headphones,3,262.77,2025-03-06,,Los Angeles,Standard,5
T0115,C040,Monitor,2,342.06,2025-03-07,Home Appliances,Seattle,Standard,5
T0116,C038,Smartphone,3,1073.45,2025-03-03,Accessories,New York,Express,10
T0117,C055,Tablet,1,572.34,2025-03-07,Electronics,Miami,Express,15
T0118,C131,Tablet,1,1119.67,2025-03-04,Home Appliances,San Francisco,Standard,0
T0119,C026,Smartwatch,2,708.9,2025-03-05,Clothing,San Francisco,Standard,20
T0120,C146,Monitor,2,555.25,2025-03-02,,Miami,Express,5
T0121,C092,Headphones,3,1184.72,2025-03-03,,Seattle,Standard,5
T0122,C119,Laptop,2,518.6,2025-03-04,Home Appliances,Seattle,Express,0
T0123,C062,Laptop,1,506.6,2025-03-03,Clothing,Miami,Standard,15
T0124,C029,Smartphone,3,683.06,2025-03-03,,Chicago,Standard,20
T0125,C028,Smartwatch,1,429.87,2025-03-06,Clothing,Boston,Standard,20
T0126,C003,Headphones,1,952.62,2025-03-04,Electronics,Miami,Standard,20
T0127,C131,Laptop,1,740.86,2025-03-07,Accessories,Boston,Standard,5
T0128,C008,Smartwatch,1,388.6,2025-03-06,Home Appliances,,Standard,0
T0129,C130,Smartphone,2,288.9,2025-03-02,Accessories,New York,Standard,5
T0130,C005,Monitor,2,496.65,2025-03-01,Electronics,Seattle,Express,15
T0131,C107,Smartphone,1,1109.9,2025-03-04,Accessories,Boston,Standard,10
T0132,C151,Keyboard,2,935.74,2025-03-02,Accessories,Los Angeles,Standard,10
T0133,C178,Keyboard,3,375.85,2025-03-03,,San Francisco,Standard,0
T0134,C033,Smartphone,2,963.08,2025-03-06,Accessories,San Francisco,Standard,0
T0135,C191,Laptop,3,584.16,2025-03-06,Clothing,Los Angeles,Standard,0
T0136,C183,Laptop,1,151.33,2025-03-03,Accessories,,Express,0
T0137,C194,Tablet,3,318.71,2025-03-02,Home Appliances,,Standard,10
T0138,C070,Smartwatch,1,683.99,2025-03-07,,Boston,Standard,15
T0139,C015,Headphones,3,614.82,2025-03-07,Clothing,Boston,Standard,10
T0140,C184,Headphones,1,68.26,2025-03-05,Accessories,Boston,Express,15
T0141,C119,Monitor,3,874.14,2025-03-03,Clothing,Chicago,Standard,0
T0142,C143,Smartwatch,3,151.82,2025-03-02,,Chicago,Standard,20
T0143,C126,Smartwatch,3,449.85,2025-03-06,Home Appliances,Boston,Express,15
T0144,C003,Laptop,3,848.69,2025-03-03,Home Appliances,Boston,Standard,0
T0145,C061,Tablet,3,1073.47,2025-03-02,Clothing,Miami,Standard,20
T0146,C006,Laptop,2,516.54,2025-03-06,,Boston,Standard,15
T0147,C139,Headphones,1,540.42,2025-03-05,,Los Angeles,Express,10
T0148,C079,Tablet,2,454.38,2025-03-06,,Chicago,Standard,10
T0149,C060,Monitor,1,1108.12,2025-03-07,Accessories,Boston,Express,0
T0150,C067,Smartphone,2,871.75,2025-03-06,Accessories,Los Angeles,Standard,20
T0151,C037,Headphones,1,472.16,2025-03-01,,San Francisco,Express,20
T0152,C057,Smartwatch,1,564.47,2025-03-01,,New York,Express,10
T0153,C173,Laptop,1,998.08,2025-03-06,Home Appliances,San Francisco,Express,15
T0154,C061,Tablet,1,375.5,2025-03-06,Home Appliances,Seattle,Express,5
T0155,C182,Keyboard,1,302.73,2025-03-01,Electronics,Seattle,Express,15
T0156,C130,Smartphone,3,645.63,2025-03-05,Accessories,Miami,Standard,15
T0157,C162,Keyboard,1,537.21,2025-03-07,Accessories,,Express,15
T0158,C060,Smartphone,2,1112.21,2025-03-03,Accessories,Boston,Standard,20
T0159,C063,Smartphone,2,1030.85,2025-03-02,Clothing,Miami,Express,0
T0160,C181,Keyboard,3,50.39,2025-03-02,Accessories,Chicago,Express,5
T0161,C022,Tablet,1,768.01,2025-03-02,Clothing,Boston,Express,10
T0162,C145,Smartphone,1,689.1,2025-03-06,Electronics,New York,Standard,20
T0163,C037,Headphones,3,319.42,2025-03-01,Clothing,,Express,20
T0164,C069,Keyboard,2,453.5,2025-03-02,,,Express,10
T0165,C077,Smartwatch,2,243.11,2025-03-01,,Los Angeles,Standard,10
T0166,C189,Smartphone,1,752.95,2025-03-07,,,Standard,0
T0167,C160,Headphones,2,459.32,2025-03-01,Clothing,Miami,Standard,10
T0168,C114,Smartwatch,2,585.43,2025-03-05,Clothing,Los Angeles,Express,10
T0169,C083,Smartphone,3,364.47,2025-03-04,Accessories,New York,Standard,15
T0170,C184,Keyboard,3,783.67,2025-03-06,Clothing,New York,Standard,20
T0171,C038,Tablet,1,410.85,2025-03-07,Accessories,Seattle,Standard,15
T0172,C147,Smartphone,3,1176.77,2025-03-06,Home Appliances,Seattle,Standard,5
T0173,C101,Headphones,2,337.75,2025-03-01,Clothing,Los Angeles,Express,5
T0174,C190,Smartwatch,2,334.11,2025-03-07,Clothing,Chicago,Express,5
T0175,C013,Monitor,1,568.92,2025-03-04,Clothing,New York,Standard,5
T0176,C049,Tablet,2,1005.16,2025-03-04,Home Appliances,Miami,Standard,10
T0177,C106,Headphones,3,347.76,2025-03-04,Accessories,Los Angeles,Express,20
T0178,C174,Headphones,1,1088.58,2025-03-06,Accessories,Boston,Express,20
T0179,C138,Tablet,3,471.14,2025-03-01,Home Appliances,Miami,Express,20
T0180,C147,Smartphone,3,970.62,2025-03-05,Home Appliances,Boston,Express,0
T0181,C161,Headphones,3,979.33,2025-03-05,Accessories,Miami,Standard,20
T0182,C121,Keyboard,1,779.41,2025-03-01,,Boston,Standard,10
T0183,C200,Tablet,3,377.9,2025-03-03,Clothing,Boston,Express,20
T0184,C140,Laptop,1,417.62,2025-03-02,,,Standard,20
T0185,C151,Keyboard,1,772.57,2025-03-06,,New York,Standard,0
T0186,C068,Tablet,2,275.04,2025-03-05,Home Appliances,Seattle,Standard,15
T0187,C074,Laptop,2,1126.49,2025-03-01,,,Standard,0
T0188,C159,Headphones,2,174.42,2025-03-05,Electronics,,Standard,20
T0189,C047,Smartphone,2,684.09,2025-03-01,,Boston,Standard,10
T0190,C078,Smartphone,1,825.5,2025-03-03,Clothing,Los Angeles,Express,0
T0191,C170,Smartphone,2,507.27,2025-03-06,Accessories,Seattle,Standard,15
T0192,C057,Keyboard,2,1019.29,2025-03-04,Electronics,Miami,Standard,5
T0193,C022,Keyboard,3,598.4,2025-03-02,,Miami,Express,15
T0194,C065,Monitor,1,147.54,2025-03-07,Accessories,Seattle,Standard,10
T0195,C019,Smartwatch,2,576.29,2025-03-07,Home Appliances,Miami,Standard,20
T0196,C118,Smartwatch,2,287.79,2025-03-03,Accessories,New York,Standard,10
T0197,C035,Smartphone,2,149.1,2025-03-07,,Los Angeles,Standard,0
T0198,C152,Tablet,1,114.53,2025-03-01,Clothing,San Francisco,Standard,5
T0199,C175,Laptop,1,1025.12,2025-03-06,Electronics,San Francisco,Express,0
T0200,C086,Laptop,1,911.49,2025-03-07,Clothing,Los Angeles,Express,20
T0201,C148,Smartphone,1,431.73,2025-03-07,Electronics,Seattle,Standard,10
T0202,C112,Headphones,3,308.22,2025-03-06,,,Express,5
T0203,C095,Smartwatch,3,623.74,2025-03-03,Electronics,Chicago,Standard,10
T0204,C123,Laptop,2,827.38,2025-03-07,,,Standard,15
T0205,C042,Monitor,2,359.37,2025-03-03,Electronics,Miami,Express,0
T0206,C067,Smartwatch,1,262.02,2025-03-06,Home Appliances,Chicago,Standard,15
T0207,C189,Smartwatch,1,843.8,2025-03-05,,Boston,Express,10
T0208,C120,Smartwatch,1,1110.1,2025-03-07,Accessories,Boston,Standard,5
T0209,C057,Laptop,2,133.58,2025-03-03,Electronics,New York,Express,15
T0210,C185,Keyboard,1,228.6,2025-03-02,Electronics,New York,Express,5
T0211,C080,Tablet,1,1179.86,2025-03-03,Clothing,Los Angeles,Standard,10
T0212,C054,Headphones,3,567.42,2025-03-06,,Seattle,Standard,0
T0213,C041,Laptop,1,209.02,2025-03-04,Accessories,New York,Express,5
T0214,C005,Smartwatch,2,732.99,2025-03-03,Electronics,Boston,Standard,5
T0215,C160,Tablet,2,875.87,2025-03-07,Electronics,Miami,Standard,0
T0216,C039,Laptop,2,426.6,2025-03-03,Home Appliances,Seattle,Standard,15
T0217,C172,Headphones,2,925.88,2025-03-05,Clothing,Seattle,Express,15
T0218,C160,Headphones,2,441.87,2025-03-05,Clothing,Los Angeles,Standard,20
T0219,C199,Laptop,3,82.62,2025-03-06,,Seattle,Express,5
T0220,C075,Headphones,1,976.39,2025-03-01,,Los Angeles,Express,20
T0221,C099,Keyboard,1,1058.39,2025-03-07,Clothing,Miami,Standard,5
T0222,C078,Tablet,3,1080.21,2025-03-02,Electronics,Los Angeles,Standard,10
T0223,C069,Keyboard,1,1019.67,2025-03-05,Accessories,Boston,Express,10
T0224,C157,Monitor,1,1130.62,2025-03-04,Electronics,Seattle,Standard,20
T0225,C012,Smartphone,3,870.43,2025-03-04,,Chicago,Standard,5
T0226,C194,Tablet,2,716.92,2025-03-02,Clothing,,Standard,5
T0227,C146,Headphones,1,787.81,2025-03-06,Electronics,San Francisco,Express,10
T0228,C034,Keyboard,1,1100.42,2025-03-05,Electronics,New York,Express,20
T0229,C181,Monitor,3,243.83,2025-03-07,Accessories,San Francisco,Standard,20
T0230,C007,Monitor,2,1157.59,2025-03-01,,Chicago,Standard,15
T0231,C013,Laptop,1,425.72,2025-03-03,Clothing,San Francisco,Standard,10
T0232,C016,Tablet,2,317.23,2025-03-01,Electronics,,Standard,0
T0233,C111,Monitor,1,68.33,2025-03-04,Electronics,,Standard,15
T0234,C107,Keyboard,2,467.09,2025-03-03,Accessories,Chicago,Express,10
T0235,C081,Smartphone,2,775.49,2025-03-06,Clothing,New York,Express,0
T0236,C033,Tablet,2,721.32,2025-03-04,Clothing,Seattle,Express,5
T0237,C127,Keyboard,3,538.03,2025-03-07,,Miami,Express,0
T0238,C095,Tablet,1,697.05,2025-03-02,Clothing,Boston,Standard,15
T0239,C092,Tablet,2,677.11,2025-03-03,Electronics,Seattle,Standard,5
T0240,C150,Laptop,1,721.29,2025-03-06,Electronics,Chicago,Standard,15
T0241,C068,Keyboard,2,1017.6,2025-03-05,,San Francisco,Standard,10
T0242,C047,Headphones,2,725.86,2025-03-01,Home Appliances,San Francisco,Standard,20
T0243,C131,Keyboard,2,1044.95,2025-03-07,Electronics,Chicago,Express,10
T0244,C019,Headphones,1,187.92,2025-03-03,Accessories,Seattle,Express,20
T0245,C065,Laptop,3,552.17,2025-03-04,Clothing,Seattle,Standard,5
T0246,C131,Laptop,2,573.92,2025-03-05,,Chicago,Express,0
T0247,C153,Headphones,2,86.44,2025-03-04,Electronics,San Francisco,Standard,5
T0248,C029,Smartphone,3,308.16,2025-03-02,Electronics,Los Angeles,Express,10
T0249,C141,Keyboard,3,240.91,2025-03-07,,New York,Express,20
T0250,C057,Smartwatch,2,632.13,2025-03-04,Electronics,,Standard,15
T0251,C088,Laptop,2,1117.29,2025-03-05,Clothing,Chicago,Standard,20
T0252,C163,Headphones,3,216.58,2025-03-04,Electronics,San Francisco,Standard,5
T0253,C137,Smartwatch,1,1197.65,2025-03-01,Home Appliances,Chicago,Express,15
T0254,C087,Smartwatch,2,114.19,2025-03-02,Clothing,Los Angeles,Express,0
T0255,C200,Headphones,2,999.93,2025-03-05,Electronics,Boston,Express,10
T0256,C004,Headphones,2,474.94,2025-03-02,,Boston,Standard,10
T0257,C065,Headphones,3,375.49,2025-03-03,Electronics,New York,Standard,15
T0258,C176,Smartwatch,2,246.7,2025-03-06,Clothing,Chicago,Standard,10
T0259,C191,Smartphone,1,389.24,2025-03-05,Clothing,Chicago,Standard,5
T0260,C146,Keyboard,1,553.0,2025-03-05,Accessories,Miami,Express,15
T0261,C161,Smartphone,3,950.46,2025-03-04,Electronics,Chicago,Express,0
T0262,C172,Laptop,3,1008.72,2025-03-06,Home Appliances,Seattle,Express,10
T0263,C093,Keyboard,1,1126.12,2025-03-05,Accessories,San Francisco,Standard,5
T0264,C092,Smartwatch,2,575.75,2025-03-04,Clothing,,Standard,5
T0265,C099,Headphones,3,408.18,2025-03-03,Electronics,,Standard,20
T0266,C072,Tablet,1,295.66,2025-03-02,Accessories,Seattle,Express,15
T0267,C089,Headphones,3,553.12,2025-03-05,Clothing,Seattle,Standard,5
T0268,C186,Headphones,2,438.12,2025-03-04,Clothing,Boston,Express,10
T0269,C010,Headphones,2,190.7,2025-03-05,,New York,Standard,10
T0270,C018,Smartwatch,2,893.54,2025-03-03,Accessories,Boston,Express,10
T0271,C175,Headphones,1,873.85,2025-03-05,,,Standard,20
T0272,C185,Keyboard,2,1144.41,2025-03-06,,Los Angeles,Express,15
T0273,C042,Laptop,3,129.42,2025-03-02,Clothing,Boston,Standard,10
T0274,C185,Keyboard,3,849.94,2025-03-03,Electronics,Los Angeles,Express,5
T0275,C154,Smartwatch,2,444.34,2025-03-07,Home Appliances,Boston,Express,0
T0276,C145,Headphones,2,514.6,2025-03-06,Accessories,,Express,10
T0277,C062,Keyboard,1,647.59,2025-03-06,,San Francisco,Standard,20
T0278,C120,Smartphone,1,1112.76,2025-03-02,Clothing,Chicago,Express,15
T0279,C048,Headphones,1,245.92,2025-03-03,Home Appliances,Los Angeles,Standard,10
T0280,C167,Smartphone,2,487.09,2025-03-04,,Seattle,Standard,10
T0281,C098,Headphones,2,669.62,2025-03-04,Electronics,Chicago,Express,15
T0282,C002,Headphones,2,950.87,2025-03-06,Home Appliances,Chicago,Express,0
T0283,C113,Tablet,3,483.57,2025-03-03,,Los Angeles,Express,0
T0284,C005,Monitor,2,1118.34,2025-03-02,,Chicago,Standard,5
T0285,C025,Headphones,3,971.28,2025-03-07,Clothing,Boston,Express,0
T0286,C082,Laptop,2,738.95,2025-03-02,Home Appliances,,Standard,15
T0287,C136,Smartphone,3,599.12,2025-03-07,Clothing,Seattle,Express,15
T0288,C194,Smartwatch,1,1083.53,2025-03-05,Accessories,Seattle,Express,10
T0289,C040,Tablet,2,605.19,2025-03-01,Accessories,San Francisco,Express,15
T0290,C167,Headphones,2,356.23,2025-03-04,Accessories,New York,Standard,0
T0291,C142,Headphones,3,645.3,2025-03-06,Clothing,Boston,Standard,0
T0292,C099,Tablet,2,1068.48,2025-03-06,Home Appliances,Boston,Standard,10
T0293,C173,Monitor,3,666.27,2025-03-04,,Chicago,Express,20
T0294,C159,Laptop,3,609.44,2025-03-03,,,Standard,15
T0295,C131,Smartphone,1,234.89,2025-03-06,Electronics,Miami,Express,20
T0296,C039,Smartphone,3,865.7,2025-03-06,Electronics,Los Angeles,Express,0
T0297,C145,Laptop,3,344.32,2025-03-07,Electronics,Chicago,Express,0
T0298,C055,Monitor,1,409.66,2025-03-07,,Los Angeles,Express,15
T0299,C066,Monitor,1,1067.74,2025-03-04,Home Appliances,Boston,Standard,20
T0300,C147,Smartphone,3,526.47,2025-03-06,,New York,Standard,5
T0301,C061,Keyboard,2,1134.53,2025-03-04,Electronics,San Francisco,Standard,10
T0302,C151,Smartwatch,3,1014.64,2025-03-06,Electronics,Chicago,Express,15
T0303,C020,Headphones,2,91.93,2025-03-05,Home Appliances,New York,Standard,10
T0304,C120,Keyboard,3,1100.92,2025-03-01,,,Standard,5
T0305,C145,Keyboard,1,1120.8,2025-03-07,Clothing,Los Angeles,Standard,5
T0306,C200,Keyboard,2,89.26,2025-03-01,Accessories,Chicago,Standard,20
T0307,C056,Smartwatch,1,1026.5,2025-03-04,Accessories,Boston,Express,15
T0308,C169,Smartwatch,1,358.97,2025-03-06,Electronics,Miami,Standard,15
T0309,C195,Laptop,1,1111.29,2025-03-06,Electronics,San Francisco,Standard,20
T0310,C129,Smartphone,3,1198.84,2025-03-05,Home Appliances,,Standard,15
T0311,C030,Laptop,1,603.2,2025-03-01,,San Francisco,Standard,15
T0312,C169,Laptop,3,507.63,2025-03-04,Accessories,San Francisco,Standard,5
T0313,C068,Smartphone,1,809.75,2025-03-03,,Seattle,Standard,20
T0314,C071,Headphones,2,867.29,2025-03-05,Clothing,Seattle,Standard,5
T0315,C078,Keyboard,2,1080.1,2025-03-01,Electronics,San Francisco,Standard,5
T0316,C098,Keyboard,3,749.69,2025-03-03,,Los Angeles,Express,20
T0317,C178,Smartphone,3,549.87,2025-03-04,Accessories,Boston,Standard,15
T0318,C063,Monitor,2,720.14,2025-03-03,,Chicago,Express,15
T0319,C056,Smartwatch,2,731.98,2025-03-06,Accessories,New York,Express,10
T0320,C074,Headphones,2,1062.75,2025-03-07,Accessories,,Standard,5
T0321,C197,Smartwatch,1,108.16,2025-03-03,Clothing,New York,Express,0
T0322,C185,Monitor,1,100.81,2025-03-07,Home Appliances,Los Angeles,Standard,20
T0323,C024,Tablet,2,139.37,2025-03-06,Accessories,Los Angeles,Standard,20
T0324,C030,Monitor,3,936.51,2025-03-02,Electronics,Chicago,Express,0
T0325,C056,Tablet,3,398.49,2025-03-07,,Miami,Standard,5
T0326,C109,Smartwatch,3,1198.49,2025-03-04,Accessories,Miami,Express,5
T0327,C178,Headphones,2,368.3,2025-03-04,Clothing,San Francisco,Standard,20
T0328,C124,Smartphone,1,732.21,2025-03-06,,,Express,10
T0329,C058,Tablet,3,54.91,2025-03-05,Clothing,Boston,Standard,10
T0330,C052,Keyboard,2,207.2,2025-03-01,Electronics,New York,Express,5
T0331,C181,Smartphone,2,271.83,2025-03-03,Clothing,Chicago,Express,20
T0332,C193,Tablet,1,408.62,2025-03-02,Accessories,San Francisco,Standard,15
T0333,C061,Smartphone,2,519.9,2025-03-01,Home Appliances,San Francisco,Standard,5
T0334,C190,Smartphone,1,424.33,2025-03-01,Accessories,Los Angeles,Standard,0
T0335,C096,Smartphone,1,392.71,2025-03-06,,,Express,5
T0336,C130,Laptop,1,395.25,2025-03-03,Electronics,Miami,Express,15
T0337,C149,Headphones,1,1118.97,2025-03-05,Electronics,Miami,Express,15
T0338,C163,Monitor,2,1009.53,2025-03-04,Home Appliances,San Francisco,Express,0
T0339,C062,Tablet,1,712.79,2025-03-06,Clothing,Seattle,Standard,15
T0340,C150,Headphones,1,1039.32,2025-03-04,Clothing,Los Angeles,Standard,20
T0341,C127,Laptop,3,90.6,2025-03-03,Accessories,Chicago,Express,10
T0342,C158,Laptop,3,1109.28,2025-03-04,Home Appliances,,Standard,10
T0343,C020,Tablet,2,1103.87,2025-03-05,Clothing,New York,Standard,5
T0344,C084,Tablet,3,856.5,2025-03-03,Home Appliances,Miami,Express,0
T0345,C042,Monitor,2,714.24,2025-03-05,Home Appliances,Miami,Express,15
T0346,C124,Smartphone,3,235.22,2025-03-06,Electronics,San Francisco,Standard,0
T0347,C090,Headphones,1,224.81,2025-03-04,Clothing,Seattle,Standard,10
